Series_reference,period,Data_value,STATUS,Units,lon,lat,Magnitude,Subject,Series_title_1,Series_title_2,class_prob,Series_title_4,Series_title_5,subset,start_date,end_date,EO_DATA,EO_STATUS
SNEA.S1NB0200MS100C0,1999.03,37385,FINAL,Dollars,36.98,-0.95,6,National Accounts - SNA 2008 - SNE,Current Prices,Gross operating surplus and gross mixed income,Market,Non-financial business enterprises,All control,training,2020-01-01,2020-12-31,"[0.8842285727432209, 0.05858510496327818, 0.945477988850692, 0.3791938730829809, 0.4773133900326708, 0.2209127524249892, 0.317006674752383, 0.7582117974871749, 0.34990757359185665, 0.7498271057507762]",complete
SNEA.S1NB0200MS100C0,2000.03,41523,FINAL,Dollars,36.97,-0.94,6,National Accounts - SNA 2008 - SNE,Current Prices,Gross operating surplus and gross mixed income,Market,Non-financial business enterprises,All control,training,2020-01-02,2021-01-01,"[0.42547315044309186, 0.5566174978764452, 0.15231034137148314, 0.45115105649863974, 0.9626538017202032, 0.1258169594887072, 0.3476365476852188, 0.38562167750538645, 0.671071781790081, 0.40427398917652246]",complete
SNEA.S1NB0200MS100C0,2001.03,44617,FINAL,Dollars,37.21,-1.02,6,National Accounts - SNA 2008 - SNE,Current Prices,Gross operating surplus and gross mixed income,Market,Non-financial business enterprises,All control,training,2020-01-03,2021-01-02,"[0.17881102267062987, 0.7878332863430245, 0.8672515620185808, 0.36588071201405004, 0.608506045923574, 0.6077615595350134, 0.5374582680191525, 0.16268489863790514, 0.7835325411504015, 0.24385454714702548]",complete
SNEA.S1NB0200MS100C0,2002.03,48454,FINAL,Dollars,37.4,-1.02,6,National Accounts - SNA 2008 - SNE,Current Prices,Gross operating surplus and gross mixed income,Market,Non-financial business enterprises,All control,training,2020-01-04,2021-01-03,"[0.4602694363639974, 0.7545633347723867, 0.9125873740796666, 0.27531655113792664, 0.5226490839152317, 0.590462472196568, 0.9878135256210842, 0.6575776025974224, 0.6504805733537508, 0.5197280422362333]",complete
SNEA.S1NB0200MS100C0,2003.03,49358,FINAL,Dollars,37.4,-1.03,6,National Accounts - SNA 2008 - SNE,Current Prices,Gross operating surplus and gross mixed income,Market,Non-financial business enterprises,All control,training,2020-01-05,2021-01-04,"[0.3672995314928158, 0.456990685985017, 0.1260882053126653, 0.3944937757666812, 0.2732568064242127, 0.6009475033893483, 0.521679489610855, 0.9372765169745477, 0.4630406929040274, 0.7661591872482953]",complete
SNEA.S1NB0200MS100C0,2004.03,52208,FINAL,Dollars,36.91,-0.91,6,National Accounts - SNA 2008 - SNE,Current Prices,Gross operating surplus and gross mixed income,Market,Non-financial business enterprises,All control,training,2020-01-06,2021-01-05,"[0.03136658228878275, 0.29116895885239413, 0.14157156316038566, 0.962557861394107, 0.5706250093627535, 0.6802507513362066, 0.8777945860049579, 0.37912774333061083, 0.5621086639239735, 0.2620073380672078]",complete
SNEA.S1NB0200MS100C0,2005.03,54955,FINAL,Dollars,36.96,-0.94,6,National Accounts - SNA 2008 - SNE,Current Prices,Gross operating surplus and gross mixed income,Market,Non-financial business enterprises,All control,training,2020-01-07,2021-01-06,"[0.7356459503084152, 0.7383140937922442, 0.7560414054119268, 0.15137905796857465, 0.09890620950530205, 0.20006336173465555, 0.8515001690193043, 0.44719409778750674, 0.9827548237218483, 0.8256196462603592]",complete
SNEA.S1NB0200MS100C0,2006.03,56384,FINAL,Dollars,37.25,-1.02,6,National Accounts - SNA 2008 - SNE,Current Prices,Gross operating surplus and gross mixed income,Market,Non-financial business enterprises,All control,training,2020-01-08,2021-01-07,"[0.686991979315626, 0.05661891648511774, 0.8018549523230846, 0.3491907296340012, 0.17162377644436155, 0.8110434395884755, 0.5254582694221885, 0.7894497912709113, 0.7469244480773001, 0.3229346047840913]",complete
SNEA.S1NB0200MS100C0,2007.03,59095,FINAL,Dollars,37.29,-1.04,6,National Accounts - SNA 2008 - SNE,Current Prices,Gross operating surplus and gross mixed income,Market,Non-financial business enterprises,All control,training,2020-01-09,2021-01-08,"[0.5559824042047304, 0.8360302693469719, 0.3545458044206877, 0.8267220503943432, 0.0668039112946005, 0.6806334006313923, 0.33772964897902036, 0.862274175578467, 0.6716318099243663, 0.1780158656514187]",complete
SNEA.S1NB0200MS100C0,2008.03,65579,FINAL,Dollars,37.32,-1.04,6,National Accounts - SNA 2008 - SNE,Current Prices,Gross operating surplus and gross mixed income,Market,Non-financial business enterprises,All control,training,2020-01-10,2021-01-09,"[0.6379891161046398, 0.8887399418131641, 0.8796530312795939, 0.0008837762613560507, 0.4266297440199118, 0.8264545493958252, 0.9076260115352369, 0.9766238115715571, 0.43082060349209883, 0.5046962474218973]",complete
