eo_data,class,lon,lat,subset,start_date,end_date,eo_status,coord
Maize,7,36.9774408,-0.9459042,training,01/01/2020,31/12/2020,complete,"[0.29254937 0.05541682 0.97971823 0.28068058 0.56439169 0.16787058
 0.83335665 0.22985378 0.51632724 0.30251832]"
Maize,7,36.9679058,-0.9396775,training,01/02/2020,01/01/2021,complete,"[0.59481836 0.17834182 0.66214007 0.70716406 0.01307856 0.73331501
 0.14375469 0.05218851 0.64494397 0.26548653]"
Avocado,8,37.21165998,-1.017538676,training,01/03/2020,01/02/2021,complete,"[0.07409703 0.52532505 0.62898183 0.78829356 0.56322387 0.55224512
 0.25119204 0.94702837 0.98913863 0.24976451]"
Maize,7,37.3963293,-1.0213467,training,01/04/2020,01/03/2021,complete,"[0.75288632 0.28443966 0.62095063 0.60544853 0.95096475 0.49583907
 0.55234584 0.71572041 0.57874073 0.65042378]"
Maize,7,37.3966799,-1.0301715,training,01/05/2020,01/04/2021,complete,"[0.33445569 0.67694256 0.73827433 0.31616347 0.09443049 0.82706221
 0.72735859 0.71127867 0.09019624 0.83011334]"
Avocado,8,36.9080485,-0.9082121,training,01/06/2020,01/05/2021,complete,"[0.41034812 0.34334622 0.51107802 0.21871133 0.33689495 0.30567454
 0.63104948 0.50089485 0.4885323  0.89208601]"
Maize,7,36.9649655,-0.9386585,training,01/07/2020,01/06/2021,complete,"[0.29901314 0.16682293 0.15678317 0.66397428 0.23033959 0.50084535
 0.68882564 0.04722252 0.59195203 0.54909962]"
Shrub,9,37.2524028,-1.0180239,training,01/08/2020,01/07/2021,complete,"[0.24792447 0.84208743 0.93782711 0.50977822 0.64615678 0.59669322
 0.42734237 0.2834428  0.70193995 0.47823731]"
Macadamia,10,37.28763711,-1.037166989,training,01/09/2020,01/08/2021,complete,"[0.52441683 0.05486867 0.99374537 0.56824074 0.81114949 0.34751618
 0.21038967 0.96580927 0.11107673 0.30284882]"
Macadamia,10,37.3181591,-1.0386253,training,01/10/2020,01/09/2021,complete,"[0.70731108 0.36990031 0.42268476 0.70744075 0.65381304 0.43491284
 0.25545312 0.34035746 0.6363067  0.28125491]"
Mango,11,37.32828345,-1.026825362,training,01/11/2020,01/10/2021,complete,"[0.81488565 0.40235034 0.04888121 0.35950489 0.00472195 0.93008612
 0.87111857 0.04607589 0.73118214 0.23788287]"
Maize,7,37.3284678,-1.0269653,training,01/12/2020,01/11/2021,complete,"[0.21603808 0.06092469 0.87513573 0.14286619 0.51831767 0.05822491
 0.08891389 0.34680747 0.44445364 0.09681505]"
Maize,7,37.3359249,-1.0201641,training,13/01/2020,01/12/2021,complete,"[0.46807892 0.52845305 0.21298149 0.75625344 0.90566542 0.497686
 0.46617624 0.44261337 0.2721354  0.5738534 ]"
Beans,12,37.371549,-1.0374392,training,14/01/2020,13/01/2021,complete,"[0.78544869 0.10666129 0.72774981 0.29769636 0.82401275 0.87385992
 0.32537175 0.59657956 0.44432513 0.0425918 ]"
Mango,11,37.3709877,-1.0381022,training,15/01/2020,14/01/2021,complete,"[0.49592356 0.3137204  0.56782462 0.54696908 0.46898195 0.32785215
 0.55267606 0.96744052 0.38654301 0.55386133]"
Maize,7,37.3591151,-1.0199412,training,16/01/2020,15/01/2021,complete,"[0.30834315 0.29283826 0.57326121 0.21303857 0.08878135 0.43251888
 0.51351544 0.6364858  0.10053916 0.51788822]"
Mango,11,37.3316332,-1.0031447,training,17/01/2020,16/01/2021,complete,"[0.63015281 0.64100149 0.93332072 0.7174191  0.36164192 0.23029435
 0.57165374 0.67746577 0.38475694 0.59970324]"
Maize,7,37.4067652,-1.038575,training,18/01/2020,17/01/2021,complete,"[0.2411103  0.91974625 0.89436617 0.19388319 0.8624529  0.44029203
 0.93297325 0.28061255 0.05892769 0.76260803]"
Oranges,13,37.3941938,-1.0356564,training,19/01/2020,18/01/2021,complete,"[0.05129482 0.3599925  0.72672293 0.22198324 0.36965264 0.95311345
 0.48032898 0.91027533 0.56324871 0.40072951]"
Mango,11,37.3921046,-1.0335636,training,20/01/2020,19/01/2021,complete,"[0.71414579 0.62841835 0.29288361 0.29276813 0.8867128  0.57512236
 0.50572573 0.62211519 0.36799996 0.43987697]"
Maize,7,37.385187,-1.026305,training,21/01/2020,20/01/2021,complete,"[0.74196903 0.22709439 0.25298979 0.11510767 0.99245162 0.19149319
 0.55378306 0.96073338 0.57444365 0.50980413]"
Maize,7,37.3850637,-1.0264405,training,22/01/2020,21/01/2021,complete,"[0.27845273 0.09367905 0.98301723 0.69435252 0.41077544 0.00447939
 0.0057181  0.75477154 0.88132862 0.30466892]"
