Series_reference,Period,Data_value,STATUS,UNITS,lon,lat,MAGNTUDE,Subject,Group,Series_title_1,class_prob,subset,start_date,end_date,Series_title_3,Series_title_4,Series_title_5,EO_DATA,EO_STATUS
PRDA.S1CAAZI,1978.03,1000.0,FINAL,Index,36.98,-0.95,0,Productivity Statistics - PRD,Productivity Indexes - Industry Level (ANZSIC06),Capital,"Agriculture, Forestry and Fishing",training,2020-01-01,2020-12-31,Index,,,"[0.3797976400699964, 0.6609088760805459, 0.48982261970490526, 0.9759779436452519, 0.7143037226325373, 0.7555072572914877, 0.6499724777911704, 0.6753388887572247, 0.5458445505418595, 0.9326218181780459]",complete
PRDA.S1CAAZI,1979.03,947.0,FINAL,Index,36.97,-0.94,0,Productivity Statistics - PRD,Productivity Indexes - Industry Level (ANZSIC06),Capital,"Agriculture, Forestry and Fishing",training,2020-01-02,2021-01-01,Index,,,"[0.8653197031440861, 0.7890305852221624, 0.22604920845853127, 0.2313281372090662, 0.7482995937938061, 0.12247624047162076, 0.23732213628431997, 0.19128282475783598, 0.6295890809633199, 0.459090117562271]",complete
PRDA.S1CAAZI,1980.03,1054.0,FINAL,Index,37.21,-1.02,0,Productivity Statistics - PRD,Productivity Indexes - Industry Level (ANZSIC06),Capital,"Agriculture, Forestry and Fishing",training,2020-01-03,2021-01-02,Index,,,"[0.5319908382728257, 0.5052209328706297, 0.3189854896651154, 0.9294344902958999, 0.15513896053249332, 0.45803683379385407, 0.6220205298218869, 0.4082525799562665, 0.985581883961524, 0.9533727969833915]",complete
PRDA.S1CAAZI,1981.03,1167.0,FINAL,Index,37.4,-1.02,0,Productivity Statistics - PRD,Productivity Indexes - Industry Level (ANZSIC06),Capital,"Agriculture, Forestry and Fishing",training,2020-01-04,2021-01-03,Index,,,"[0.9727002498029763, 0.5223366716998205, 0.40973461380410936, 0.3116806538526241, 0.07414157702790347, 0.6943603784691913, 0.7388735828433909, 0.19055973404525695, 0.873800784418375, 0.5196663123287548]",complete
PRDA.S1CAAZI,1982.03,1144.0,FINAL,Index,37.4,-1.03,0,Productivity Statistics - PRD,Productivity Indexes - Industry Level (ANZSIC06),Capital,"Agriculture, Forestry and Fishing",training,2020-01-05,2021-01-04,Index,,,"[0.08795647957773156, 0.06801754578890229, 0.4845481602600985, 0.6672035459796323, 0.9705593622729092, 0.8627293991300349, 0.5437473114719064, 0.13597109174365263, 0.5632197936546246, 0.8295459786672724]",complete
PRDA.S1CAAZI,1983.03,1164.0,FINAL,Index,36.91,-0.91,0,Productivity Statistics - PRD,Productivity Indexes - Industry Level (ANZSIC06),Capital,"Agriculture, Forestry and Fishing",training,2020-01-06,2021-01-05,Index,,,"[0.9459204075764269, 0.34850784806501545, 0.03427601916371237, 0.9119440244573168, 0.47077502338355137, 0.9325305817537275, 0.5316906851760479, 0.9263147076747378, 0.2801662666906731, 0.8354475282431548]",complete
PRDA.S1CAAZI,1984.03,1084.0,FINAL,Index,36.96,-0.94,0,Productivity Statistics - PRD,Productivity Indexes - Industry Level (ANZSIC06),Capital,"Agriculture, Forestry and Fishing",training,2020-01-07,2021-01-06,Index,,,"[0.6524440394468933, 0.10388695864202746, 0.6670241001307808, 0.6245531800254672, 0.3264737875044138, 0.1935068851469639, 0.06497287796911189, 0.9220349434058477, 0.20560946100806066, 0.17546346823643433]",complete
PRDA.S1CAAZI,1985.03,1117.0,FINAL,Index,37.25,-1.02,0,Productivity Statistics - PRD,Productivity Indexes - Industry Level (ANZSIC06),Capital,"Agriculture, Forestry and Fishing",training,2020-01-08,2021-01-07,Index,,,"[0.4999845642970927, 0.4766189122471821, 0.4434319486053646, 0.6658077182818807, 0.547656412621703, 0.7155204623723125, 0.4558506057889583, 0.623012697616028, 0.24929076667675454, 0.9142057075361145]",complete
PRDA.S1CAAZI,1986.03,1334.0,FINAL,Index,37.29,-1.04,0,Productivity Statistics - PRD,Productivity Indexes - Industry Level (ANZSIC06),Capital,"Agriculture, Forestry and Fishing",training,2020-01-09,2021-01-08,Index,,,"[0.5393056866287391, 0.13257260658018932, 0.15902807747339986, 0.6684822374151598, 0.035401758594063915, 0.2252145700674878, 0.12696129768974906, 0.48017962331190533, 0.599791272682426, 0.9218566968467189]",complete
PRDA.S1CAAZI,1987.03,1329.0,FINAL,Index,37.32,-1.04,0,Productivity Statistics - PRD,Productivity Indexes - Industry Level (ANZSIC06),Capital,"Agriculture, Forestry and Fishing",training,2020-01-10,2021-01-09,Index,,,"[0.6371838844415234, 0.9355316475906782, 0.09512083516062453, 0.6711446792100924, 0.0941276378787319, 0.09492280307591927, 0.9334607121999188, 0.0436863198887002, 0.36018486009980744, 0.32828508360581243]",complete
