Name,class,lon,lat,subset,start_date,end_date
Maize,7,36.9774408,-0.9459042,training,01/01/2020,31/12/2020
Maize,7,36.9679058,-0.9396775,training,02/01/2020,01/01/2021
Avocado,8,37.21165998,-1.017538676,training,03/01/2020,02/01/2021
Maize,7,37.3963293,-1.0213467,training,04/01/2020,03/01/2021
Maize,7,37.3966799,-1.0301715,training,05/01/2020,04/01/2021
Avocado,8,36.9080485,-0.9082121,training,06/01/2020,05/01/2021
Maize,7,36.9649655,-0.9386585,training,07/01/2020,06/01/2021
Shrub,9,37.2524028,-1.0180239,training,08/01/2020,07/01/2021
Macadamia,10,37.28763711,-1.037166989,training,09/01/2020,08/01/2021
Macadamia,10,37.3181591,-1.0386253,training,10/01/2020,09/01/2021
Mango,11,37.32828345,-1.026825362,training,11/01/2020,10/01/2021
Maize,7,37.3284678,-1.0269653,training,12/01/2020,11/01/2021
Maize,7,37.3359249,-1.0201641,training,13/01/2020,12/01/2021
Beans,12,37.371549,-1.0374392,training,14/01/2020,13/01/2021
Mango,11,37.3709877,-1.0381022,training,15/01/2020,14/01/2021
Maize,7,37.3591151,-1.0199412,training,16/01/2020,15/01/2021
Mango,11,37.3316332,-1.0031447,training,17/01/2020,16/01/2021
Maize,7,37.4067652,-1.038575,training,18/01/2020,17/01/2021
Oranges,13,37.3941938,-1.0356564,training,19/01/2020,18/01/2021
Mango,11,37.3921046,-1.0335636,training,20/01/2020,19/01/2021
Maize,7,37.385187,-1.026305,training,21/01/2020,20/01/2021
Maize,7,37.3850637,-1.0264405,training,22/01/2020,21/01/2021
Maize,7,37.3772243,-1.0259908,training,23/01/2020,22/01/2021
Pawpaw,14,37.3769401,-1.0295357,training,24/01/2020,23/01/2021
Beans,12,37.37385,-1.0343569,training,25/01/2020,24/01/2021
Maize,7,37.3412101,-1.0129381,training,26/01/2020,25/01/2021
Potatoes,15,37.3413457,-1.0129799,training,27/01/2020,26/01/2021
Maize,7,36.9676867,-0.9395975,training,28/01/2020,27/01/2021
Maize,7,36.9273465,-0.9308953,training,29/01/2020,28/01/2021
Maize,7,36.9082104,-0.9082499,training,30/01/2020,29/01/2021
Potatoes,15,36.9083241,-0.9083111,training,31/01/2020,30/01/2021
Arrowroot,16,36.9255703,-0.9318609,training,01/02/2020,31/01/2021
Pumpkin,17,36.9270403,-0.9309717,training,02/02/2020,01/02/2021
Coffee,18,36.9268333,-0.9311116,training,03/02/2020,02/02/2021
Maize,7,36.849999,-0.8474769,training,04/02/2020,03/02/2021
Maize,7,36.8749995,-0.8783487,training,05/02/2020,04/02/2021
Coffee,18,36.9551905,-0.9361184,training,06/02/2020,05/02/2021
Maize,7,37.3407715,-1.0076215,training,07/02/2020,06/02/2021
