eo_status,eo_data,lon,lat,subset,start_date,end_date,EO_FILE
Bananas,20,36.9761463,-0.8833592,training,01/12/2024,31/01/2025,/home/mapflow/Desktop/openmapflow/openmapflow/satdata/min_lat=-0.95_min_lon=36.75_max_lat=-0.55_max_lon=37.35.tif
Tomato,36,36.89718534,-0.790258903,training,01/12/2024,31/01/2025,/home/mapflow/Desktop/openmapflow/openmapflow/satdata/min_lat=-0.95_min_lon=36.75_max_lat=-0.55_max_lon=37.35.tif
Beans,12,37.0762775,-0.9665924,training,01/12/2024,31/01/2025,/home/mapflow/Desktop/openmapflow/openmapflow/satdata/min_lat=-0.95_min_lon=36.75_max_lat=-0.55_max_lon=37.35.tif
Tomato,36,36.89718534,-0.790258903,training,01/12/2024,31/01/2025,/home/mapflow/Desktop/openmapflow/openmapflow/satdata/min_lat=-0.95_min_lon=36.75_max_lat=-0.55_max_lon=37.35.tif
Macadamia,10,37.3181591,-1.0386253,training,01/12/2024,31/01/2025,/home/mapflow/Desktop/openmapflow/openmapflow/satdata/min_lat=-0.95_min_lon=36.75_max_lat=-0.55_max_lon=37.35.tif
Cabbage,27,36.9380003,-0.686399112,training,01/12/2024,31/01/2025,/home/mapflow/Desktop/openmapflow/openmapflow/satdata/min_lat=-0.95_min_lon=36.75_max_lat=-0.55_max_lon=37.35.tif
Macadamia,10,37.28763711,-1.037166989,training,01/12/2024,31/01/2025,/home/mapflow/Desktop/openmapflow/openmapflow/satdata/min_lat=-0.95_min_lon=36.75_max_lat=-0.55_max_lon=37.35.tif
Coffee,18,36.9829774,-0.6272624,training,01/12/2024,31/01/2025,/home/mapflow/Desktop/openmapflow/openmapflow/satdata/min_lat=-0.95_min_lon=36.75_max_lat=-0.55_max_lon=37.35.tif
Pineapple,37,37.0824554,-1.0256117,training,01/12/2024,31/01/2025,/home/mapflow/Desktop/openmapflow/openmapflow/satdata/min_lat=-0.95_min_lon=36.75_max_lat=-0.55_max_lon=37.35.tif
Cabbage,27,36.8673113,-0.8217473,training,01/12/2024,31/01/2025,/home/mapflow/Desktop/openmapflow/openmapflow/satdata/min_lat=-0.95_min_lon=36.75_max_lat=-0.55_max_lon=37.35.tif
Rice,32,37.2167346,-0.6890882,training,01/12/2024,31/01/2025,/home/mapflow/Desktop/openmapflow/openmapflow/satdata/min_lat=-0.95_min_lon=36.75_max_lat=-0.55_max_lon=37.35.tif
Sunflower,21,37.3412302,-1.0068534,training,01/12/2024,31/01/2025,/home/mapflow/Desktop/openmapflow/openmapflow/satdata/min_lat=-0.95_min_lon=36.75_max_lat=-0.55_max_lon=37.35.tif
Oranges,13,37.3941938,-1.0356564,training,01/12/2024,31/01/2025,/home/mapflow/Desktop/openmapflow/openmapflow/satdata/min_lat=-0.95_min_lon=36.75_max_lat=-0.55_max_lon=37.35.tif
Yams,30,37.00242612,-0.696361551,training,01/12/2024,31/01/2025,/home/mapflow/Desktop/openmapflow/openmapflow/satdata/min_lat=-0.95_min_lon=36.75_max_lat=-0.55_max_lon=37.35.tif
